"Estado","% Ocupación"
"Aguascalientes","73.64"
"Colima","48.43"
"Hidalgo","44.64"
"Jalisco","41.09"
"Chihuahua","38.86"
"Ciudad de México","38.80"
"Sonora","37.41"
"Baja California","36.43"
"Zacatecas","34.64"
"Nayarit","33.96"
"Nuevo León","33.54"
"Coahuila de Zaragoza","33.12"
"Morelos","31.25"
"Durango","31.03"
"Puebla","26.66"
"Tamaulipas","25.12"
"Querétaro","23.07"
"Oaxaca","22.22"
"México","22.02"
"San Luis Potosí","20.80"
"Veracruz de Ignacio de La Llave","20.25"
"Baja California Sur","19.35"
"Sinaloa","18.28"
"Tlaxcala","16.92"
"Tabasco","16.00"
"Yucatán","15.08"
"Guanajuato","14.81"
"Michoacán de Ocampo","12.24"
"Quintana Roo","11.15"
"Guerrero","8.04"
"Chiapas","2.52"
"Campeche","1.81"
