"Estado","% Ocupación"
"Colima","93.02"
"Ciudad de México","66.92"
"Oaxaca","66.29"
"Nayarit","65.42"
"Nuevo León","58.36"
"Sinaloa","55.67"
"Durango","54.23"
"Yucatán","49.42"
"Guerrero","48.37"
"Baja California Sur","45.01"
"Sonora","42.22"
"Jalisco","41.20"
"Hidalgo","39.00"
"México","37.32"
"Tlaxcala","36.66"
"Veracruz de Ignacio de La Llave","34.61"
"Tabasco","30.72"
"Michoacán de Ocampo","28.29"
"San Luis Potosí","26.82"
"Tamaulipas","22.79"
"Querétaro","22.59"
"Morelos","22.00"
"Chiapas","21.07"
"Baja California","20.64"
"Puebla","20.64"
"Quintana Roo","20.24"
"Chihuahua","17.61"
"Zacatecas","16.10"
"Coahuila de Zaragoza","11.96"
"Aguascalientes","11.20"
"Campeche","10.00"
"Guanajuato","7.53"
