"Estado","% Ocupación"
"Tlaxcala","9.52"
"Aguascalientes","3.44"
"Jalisco","3.41"
"Oaxaca","3.12"
"Sonora","2.73"
"Yucatán","1.87"
"Ciudad de México","1.34"
"Hidalgo","1.21"
"Chihuahua","1.13"
"San Luis Potosí","0.98"
"Baja California","0.77"
"Michoacán de Ocampo","0.69"
"Tamaulipas","0.68"
"Tabasco","0.57"
"Veracruz de Ignacio de La Llave","0.56"
"México","0.55"
"Puebla","0.48"
"Guanajuato","0.45"
"Campeche","0.00"
"Sinaloa","0.00"
"Colima","0.00"
"Zacatecas","0.00"
"Morelos","0.00"
"Durango","0.00"
"Coahuila de Zaragoza","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Guerrero","0.00"
"Nayarit","0.00"
"Querétaro","0.00"
"Nuevo León","0.00"
"Chiapas","0.00"
