"Estado","% Ocupación"
"Aguascalientes","62.42"
"Jalisco","40.09"
"Ciudad de México","33.99"
"Morelos","31.03"
"Baja California","30.68"
"Nuevo León","30.64"
"Nayarit","30.35"
"Colima","28.57"
"Querétaro","28.46"
"Hidalgo","27.77"
"Chihuahua","27.05"
"Baja California Sur","26.08"
"Sonora","25.69"
"Tlaxcala","25.35"
"Puebla","25.00"
"San Luis Potosí","24.83"
"México","23.60"
"Michoacán de Ocampo","21.95"
"Coahuila de Zaragoza","21.51"
"Oaxaca","21.05"
"Zacatecas","20.68"
"Durango","20.68"
"Tamaulipas","20.57"
"Yucatán","17.74"
"Sinaloa","14.94"
"Guanajuato","14.12"
"Veracruz de Ignacio de La Llave","13.98"
"Tabasco","12.34"
"Guerrero","11.87"
"Campeche","10.25"
"Quintana Roo","7.51"
"Chiapas","4.37"
