"Estado","% Ocupación"
"Aguascalientes","52.71"
"Colima","49.20"
"Tabasco","46.82"
"Morelos","41.77"
"Jalisco","41.72"
"Veracruz de Ignacio de La Llave","40.99"
"Tlaxcala","39.49"
"Nuevo León","38.62"
"Hidalgo","38.27"
"Puebla","37.63"
"Ciudad de México","35.47"
"Querétaro","35.38"
"San Luis Potosí","34.91"
"México","34.70"
"Durango","32.96"
"Michoacán de Ocampo","32.63"
"Tamaulipas","32.35"
"Oaxaca","31.42"
"Yucatán","30.60"
"Sonora","26.98"
"Baja California","20.90"
"Nayarit","19.84"
"Zacatecas","19.40"
"Guanajuato","16.73"
"Coahuila de Zaragoza","16.29"
"Chiapas","15.85"
"Chihuahua","15.00"
"Guerrero","14.28"
"Sinaloa","13.30"
"Baja California Sur","12.88"
"Campeche","12.31"
"Quintana Roo","10.74"
