"Estado","% Ocupación"
"Nayarit","100.00"
"Aguascalientes","85.71"
"Zacatecas","69.76"
"Durango","66.66"
"Ciudad de México","59.85"
"San Luis Potosí","58.00"
"Chihuahua","57.14"
"Querétaro","56.25"
"Jalisco","55.43"
"Nuevo León","54.51"
"Guanajuato","45.28"
"Coahuila de Zaragoza","44.44"
"Sinaloa","40.00"
"Hidalgo","38.46"
"Tabasco","35.86"
"México","30.87"
"Puebla","29.82"
"Sonora","29.72"
"Tamaulipas","27.14"
"Veracruz de Ignacio de La Llave","22.58"
"Baja California","16.66"
"Yucatán","16.66"
"Oaxaca","16.66"
"Morelos","8.33"
"Campeche","3.33"
"Guerrero","0.00"
"Baja California Sur","0.00"
"Colima","0.00"
"Quintana Roo","0.00"
"Chiapas","0.00"
"Tlaxcala","0.00"
"Michoacán de Ocampo","0.00"
