"Estado","% Ocupación"
"Aguascalientes","71.42"
"Ciudad de México","66.44"
"Jalisco","65.73"
"Querétaro","61.11"
"Durango","55.55"
"Nuevo León","51.32"
"Campeche","50.00"
"Hidalgo","46.15"
"Puebla","45.76"
"San Luis Potosí","43.47"
"Chihuahua","42.50"
"Tamaulipas","38.88"
"Sonora","38.70"
"Guanajuato","38.18"
"Tabasco","37.93"
"Zacatecas","33.33"
"México","33.11"
"Coahuila de Zaragoza","30.00"
"Veracruz de Ignacio de La Llave","28.57"
"Yucatán","25.00"
"Oaxaca","21.05"
"Baja California","17.24"
"Michoacán de Ocampo","16.66"
"Sinaloa","16.39"
"Guerrero","6.97"
"Quintana Roo","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Morelos","0.00"
"Colima","0.00"
"Chiapas","0.00"
"Nayarit","0.00"
