"Estado","% Ocupación"
"Aguascalientes","59.13"
"Chihuahua","37.00"
"Durango","34.37"
"Baja California","29.28"
"Sonora","24.60"
"Zacatecas","24.10"
"Coahuila de Zaragoza","22.58"
"Nuevo León","16.91"
"Baja California Sur","15.15"
"Sinaloa","15.00"
"San Luis Potosí","12.03"
"Ciudad de México","10.18"
"Jalisco","9.92"
"Guanajuato","9.54"
"Querétaro","9.37"
"Quintana Roo","8.33"
"Nayarit","8.33"
"Tamaulipas","8.19"
"Puebla","8.16"
"Tlaxcala","7.93"
"Hidalgo","7.86"
"Michoacán de Ocampo","6.31"
"Morelos","6.12"
"México","5.73"
"Oaxaca","5.31"
"Yucatán","5.23"
"Colima","5.00"
"Veracruz de Ignacio de La Llave","3.98"
"Campeche","1.83"
"Tabasco","0.96"
"Chiapas","0.57"
"Guerrero","0.00"
