"Estado","% Ocupación"
"Baja California Sur","79.48"
"Yucatán","41.31"
"Tabasco","40.39"
"Oaxaca","25.31"
"Colima","25.00"
"Sonora","24.58"
"Quintana Roo","19.56"
"Tamaulipas","18.25"
"Sinaloa","18.18"
"Nuevo León","16.26"
"Ciudad de México","14.66"
"Nayarit","13.09"
"Baja California","12.08"
"Aguascalientes","9.52"
"Guerrero","8.25"
"Michoacán de Ocampo","8.15"
"Chihuahua","8.12"
"Durango","8.10"
"Jalisco","7.86"
"México","7.48"
"San Luis Potosí","7.18"
"Hidalgo","7.04"
"Veracruz de Ignacio de La Llave","6.81"
"Puebla","6.66"
"Coahuila de Zaragoza","6.08"
"Tlaxcala","5.55"
"Campeche","4.09"
"Chiapas","3.94"
"Zacatecas","3.90"
"Guanajuato","1.87"
"Querétaro","1.58"
"Morelos","0.00"
