"Estado","% Ocupación"
"Baja California","71.42"
"Aguascalientes","58.06"
"Sonora","47.61"
"Durango","46.51"
"Coahuila de Zaragoza","44.44"
"Chihuahua","44.18"
"Querétaro","43.75"
"Yucatán","40.00"
"Zacatecas","27.77"
"San Luis Potosí","23.33"
"Hidalgo","23.07"
"Sinaloa","22.00"
"Nuevo León","20.49"
"Tamaulipas","20.28"
"Puebla","19.51"
"Guanajuato","19.29"
"Ciudad de México","18.68"
"México","16.98"
"Jalisco","10.86"
"Tabasco","10.84"
"Oaxaca","6.66"
"Veracruz de Ignacio de La Llave","5.35"
"Guerrero","1.21"
"Quintana Roo","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
"Morelos","0.00"
"Nayarit","0.00"
"Colima","0.00"
"Michoacán de Ocampo","0.00"
"Baja California Sur","0.00"
"Chiapas","0.00"
