"Estado","% Ocupación"
"Aguascalientes","44.44"
"Tlaxcala","30.76"
"Nuevo León","27.46"
"Ciudad de México","25.51"
"Durango","18.30"
"Puebla","17.30"
"Colima","16.41"
"Querétaro","14.42"
"Sonora","12.64"
"Baja California Sur","12.34"
"Jalisco","12.26"
"Chihuahua","11.30"
"Baja California","10.98"
"Veracruz de Ignacio de La Llave","10.48"
"Oaxaca","10.34"
"Coahuila de Zaragoza","10.05"
"Chiapas","9.43"
"Morelos","9.09"
"Quintana Roo","9.09"
"Guerrero","8.45"
"Tamaulipas","7.90"
"Sinaloa","7.69"
"Michoacán de Ocampo","6.49"
"Campeche","5.71"
"San Luis Potosí","5.11"
"Guanajuato","4.76"
"Zacatecas","4.70"
"Hidalgo","4.54"
"México","4.45"
"Tabasco","3.55"
"Nayarit","2.32"
"Yucatán","2.17"
