"Estado","% Ocupación"
"Aguascalientes","60.78"
"Jalisco","41.70"
"Ciudad de México","37.13"
"Baja California","35.31"
"Nuevo León","33.15"
"Morelos","32.78"
"Colima","29.26"
"Nayarit","29.09"
"Chihuahua","28.84"
"Puebla","28.18"
"Hidalgo","27.83"
"Sonora","26.05"
"San Luis Potosí","24.82"
"Tlaxcala","24.32"
"México","24.08"
"Coahuila de Zaragoza","22.01"
"Baja California Sur","21.66"
"Zacatecas","21.42"
"Querétaro","20.96"
"Durango","20.80"
"Tamaulipas","19.02"
"Sinaloa","18.51"
"Yucatán","18.18"
"Michoacán de Ocampo","17.78"
"Oaxaca","16.94"
"Tabasco","14.94"
"Guanajuato","14.64"
"Veracruz de Ignacio de La Llave","13.71"
"Guerrero","10.61"
"Quintana Roo","7.54"
"Chiapas","4.34"
"Campeche","2.47"
