"Estado","% Ocupación"
"Durango","68.00"
"Ciudad de México","65.29"
"Guerrero","64.73"
"Colima","63.79"
"Hidalgo","56.98"
"Nayarit","55.32"
"Sinaloa","54.94"
"Nuevo León","52.22"
"Veracruz de Ignacio de La Llave","50.06"
"Quintana Roo","49.72"
"Sonora","45.61"
"Baja California Sur","43.34"
"Oaxaca","42.71"
"México","41.50"
"Jalisco","39.71"
"Tamaulipas","35.30"
"Tlaxcala","30.43"
"Querétaro","29.86"
"Puebla","28.84"
"Michoacán de Ocampo","28.25"
"Zacatecas","27.45"
"Morelos","25.37"
"Tabasco","25.22"
"Aguascalientes","25.00"
"San Luis Potosí","19.50"
"Chiapas","18.93"
"Baja California","18.33"
"Yucatán","17.80"
"Chihuahua","16.58"
"Coahuila de Zaragoza","16.36"
"Campeche","9.31"
"Guanajuato","8.82"
