"Estado","% Ocupación"
"Querétaro","100.00"
"Chihuahua","16.66"
"Puebla","14.28"
"Durango","13.33"
"Coahuila de Zaragoza","12.50"
"México","12.37"
"Ciudad de México","10.34"
"Aguascalientes","9.09"
"Yucatán","4.00"
"Sinaloa","3.22"
"San Luis Potosí","2.94"
"Veracruz de Ignacio de La Llave","2.56"
"Jalisco","2.53"
"Guanajuato","1.85"
"Nuevo León","0.90"
"Zacatecas","0.00"
"Sonora","0.00"
"Guerrero","0.00"
"Colima","0.00"
"Campeche","0.00"
"Tlaxcala","0.00"
"Tabasco","0.00"
"Quintana Roo","0.00"
"Baja California Sur","0.00"
"Baja California","0.00"
"Tamaulipas","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Oaxaca","0.00"
"Chiapas","0.00"
"Hidalgo","0.00"
"Morelos","0.00"
