"Estado","% Ocupación"
"Yucatán","77.77"
"Querétaro","50.00"
"Coahuila de Zaragoza","37.50"
"Tabasco","36.66"
"Quintana Roo","33.82"
"Zacatecas","30.00"
"Sonora","28.57"
"Tamaulipas","26.50"
"Sinaloa","25.67"
"México","23.02"
"Nuevo León","21.28"
"Aguascalientes","20.75"
"Chihuahua","17.74"
"Puebla","16.66"
"Veracruz de Ignacio de La Llave","16.66"
"Durango","16.66"
"Oaxaca","14.06"
"Ciudad de México","12.55"
"Campeche","12.50"
"Michoacán de Ocampo","12.50"
"Jalisco","11.79"
"Guerrero","10.00"
"Baja California","10.00"
"Chiapas","7.93"
"Guanajuato","6.25"
"San Luis Potosí","5.55"
"Colima","5.55"
"Tlaxcala","0.00"
"Nayarit","0.00"
"Hidalgo","0.00"
"Morelos","0.00"
"Baja California Sur","0.00"
