"Estado","% Ocupación"
"Sonora","4.68"
"Jalisco","3.34"
"Yucatán","3.06"
"Oaxaca","2.70"
"Tabasco","2.53"
"Morelos","2.08"
"México","1.91"
"Puebla","1.88"
"Colima","1.85"
"Tamaulipas","1.60"
"Aguascalientes","1.58"
"Chihuahua","1.36"
"Coahuila de Zaragoza","1.36"
"Veracruz de Ignacio de La Llave","1.33"
"Chiapas","1.18"
"Guanajuato","0.91"
"Ciudad de México","0.70"
"Guerrero","0.00"
"Durango","0.00"
"Campeche","0.00"
"Querétaro","0.00"
"San Luis Potosí","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Baja California","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Nuevo León","0.00"
"Hidalgo","0.00"
"Sinaloa","0.00"
"Zacatecas","0.00"
