"Estado","% Ocupación"
"Coahuila de Zaragoza","80.00"
"Aguascalientes","71.42"
"Ciudad de México","57.23"
"Querétaro","56.25"
"Jalisco","40.35"
"Michoacán de Ocampo","40.00"
"Nuevo León","33.46"
"San Luis Potosí","33.33"
"Puebla","32.35"
"Tabasco","31.64"
"Tamaulipas","26.76"
"Sonora","25.00"
"Baja California","22.58"
"Guanajuato","21.81"
"México","21.08"
"Veracruz de Ignacio de La Llave","21.05"
"Durango","20.45"
"Sinaloa","18.75"
"Chihuahua","18.42"
"Hidalgo","18.18"
"Zacatecas","16.66"
"Yucatán","12.50"
"Guerrero","5.00"
"Oaxaca","0.00"
"Nayarit","0.00"
"Chiapas","0.00"
"Colima","0.00"
"Tlaxcala","0.00"
"Morelos","0.00"
"Baja California Sur","0.00"
"Campeche","0.00"
"Quintana Roo","0.00"
