"Estado","% Ocupación"
"Baja California","35.52"
"Aguascalientes","25.00"
"Sonora","24.77"
"Chihuahua","24.34"
"Baja California Sur","18.75"
"Coahuila de Zaragoza","18.08"
"Puebla","17.80"
"Nuevo León","16.74"
"Querétaro","14.41"
"Tlaxcala","12.67"
"Durango","12.19"
"Colima","11.32"
"Ciudad de México","11.27"
"Yucatán","11.04"
"Jalisco","10.90"
"Morelos","10.25"
"México","10.21"
"Michoacán de Ocampo","9.83"
"Tamaulipas","9.78"
"Tabasco","9.69"
"San Luis Potosí","9.09"
"Hidalgo","8.94"
"Guanajuato","8.67"
"Sinaloa","7.40"
"Zacatecas","7.33"
"Veracruz de Ignacio de La Llave","4.54"
"Oaxaca","4.16"
"Quintana Roo","2.45"
"Chiapas","2.24"
"Nayarit","1.88"
"Guerrero","1.08"
"Campeche","0.00"
