"Estado","% Ocupación"
"Tabasco","56.46"
"Colima","55.96"
"Nuevo León","48.35"
"Jalisco","47.40"
"Aguascalientes","45.60"
"Michoacán de Ocampo","43.67"
"Veracruz de Ignacio de La Llave","43.18"
"Oaxaca","42.95"
"Morelos","41.02"
"Querétaro","41.01"
"Ciudad de México","40.52"
"Hidalgo","38.85"
"Durango","38.46"
"Puebla","37.80"
"Tlaxcala","36.52"
"Yucatán","36.06"
"México","35.74"
"Tamaulipas","33.89"
"San Luis Potosí","29.88"
"Baja California","25.35"
"Sonora","24.81"
"Zacatecas","23.52"
"Coahuila de Zaragoza","21.67"
"Nayarit","19.51"
"Guanajuato","18.88"
"Quintana Roo","17.00"
"Chihuahua","16.75"
"Campeche","15.03"
"Chiapas","14.98"
"Baja California Sur","14.91"
"Sinaloa","14.85"
"Guerrero","11.55"
