"Estado","% Ocupación"
"Zacatecas","72.22"
"Aguascalientes","64.51"
"Chihuahua","57.14"
"Querétaro","56.25"
"Durango","55.81"
"Sonora","38.46"
"Tamaulipas","34.00"
"Coahuila de Zaragoza","33.33"
"Ciudad de México","33.16"
"San Luis Potosí","28.20"
"Puebla","25.58"
"Nuevo León","25.38"
"Baja California","22.58"
"Sinaloa","22.44"
"Jalisco","17.05"
"Tabasco","16.45"
"Hidalgo","15.38"
"Guanajuato","14.54"
"México","13.76"
"Yucatán","12.50"
"Veracruz de Ignacio de La Llave","5.08"
"Quintana Roo","4.00"
"Guerrero","0.00"
"Tlaxcala","0.00"
"Chiapas","0.00"
"Campeche","0.00"
"Colima","0.00"
"Morelos","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Oaxaca","0.00"
