"Estado","% Ocupación"
"Hidalgo","75.00"
"Aguascalientes","58.06"
"Querétaro","56.25"
"Yucatán","42.85"
"Michoacán de Ocampo","40.00"
"Puebla","37.25"
"Tamaulipas","34.78"
"Colima","33.33"
"Sonora","32.43"
"Chihuahua","28.57"
"Zacatecas","27.77"
"Nuevo León","27.71"
"Durango","25.58"
"Tabasco","25.28"
"Guanajuato","21.05"
"Ciudad de México","20.75"
"Jalisco","20.52"
"México","18.44"
"Coahuila de Zaragoza","17.39"
"San Luis Potosí","14.81"
"Baja California","14.70"
"Sinaloa","11.53"
"Veracruz de Ignacio de La Llave","9.43"
"Guerrero","6.45"
"Oaxaca","6.25"
"Quintana Roo","2.22"
"Morelos","0.00"
"Campeche","0.00"
"Nayarit","0.00"
"Chiapas","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
