"Estado","% Ocupación"
"Aguascalientes","15.78"
"Oaxaca","15.55"
"Durango","13.33"
"Nuevo León","12.56"
"Tamaulipas","7.61"
"Sinaloa","7.14"
"Zacatecas","5.12"
"Hidalgo","4.76"
"Chihuahua","4.54"
"Baja California Sur","4.54"
"Jalisco","3.64"
"Colima","3.50"
"Veracruz de Ignacio de La Llave","3.46"
"Puebla","3.18"
"Sonora","3.04"
"Tabasco","2.69"
"Guanajuato","2.55"
"Ciudad de México","2.30"
"Morelos","2.19"
"Baja California","2.17"
"Coahuila de Zaragoza","2.14"
"San Luis Potosí","1.80"
"Quintana Roo","1.49"
"México","1.36"
"Michoacán de Ocampo","1.34"
"Guerrero","1.32"
"Yucatán","0.17"
"Nayarit","0.00"
"Chiapas","0.00"
"Campeche","0.00"
"Tlaxcala","0.00"
"Querétaro","0.00"
