"Estado","% Ocupación"
"Aguascalientes","31.25"
"Colima","23.80"
"Nuevo León","15.73"
"Baja California Sur","15.38"
"Durango","13.86"
"Sinaloa","12.04"
"Chihuahua","11.42"
"Oaxaca","10.95"
"Hidalgo","10.32"
"Coahuila de Zaragoza","10.00"
"Quintana Roo","9.09"
"Querétaro","7.92"
"Jalisco","7.61"
"Veracruz de Ignacio de La Llave","7.48"
"Tamaulipas","7.07"
"Ciudad de México","6.45"
"Tlaxcala","6.38"
"Baja California","6.09"
"Zacatecas","4.54"
"Sonora","4.43"
"Puebla","4.36"
"México","4.20"
"Guerrero","3.34"
"Morelos","3.29"
"Michoacán de Ocampo","3.29"
"Guanajuato","2.77"
"San Luis Potosí","2.56"
"Yucatán","2.45"
"Nayarit","2.22"
"Chiapas","1.82"
"Tabasco","1.51"
"Campeche","0.00"
