"Estado","% Ocupación"
"Coahuila de Zaragoza","100.00"
"Aguascalientes","66.66"
"Zacatecas","66.66"
"Durango","60.46"
"Chihuahua","55.55"
"Yucatán","53.84"
"Querétaro","50.00"
"San Luis Potosí","36.58"
"Ciudad de México","23.12"
"Nuevo León","20.83"
"Sinaloa","20.00"
"Guanajuato","19.64"
"Tamaulipas","18.03"
"Tabasco","17.89"
"Baja California","16.66"
"Jalisco","16.57"
"Puebla","15.78"
"Hidalgo","15.38"
"Sonora","14.28"
"México","11.65"
"Veracruz de Ignacio de La Llave","6.12"
"Michoacán de Ocampo","0.00"
"Tlaxcala","0.00"
"Chiapas","0.00"
"Campeche","0.00"
"Morelos","0.00"
"Guerrero","0.00"
"Colima","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Nayarit","0.00"
"Oaxaca","0.00"
