"Estado","% Ocupación"
"Durango","84.61"
"Chihuahua","57.57"
"Querétaro","56.25"
"Aguascalientes","50.00"
"Yucatán","37.50"
"Sonora","36.17"
"Zacatecas","33.33"
"Sinaloa","27.77"
"San Luis Potosí","25.00"
"Coahuila de Zaragoza","25.00"
"Nuevo León","25.00"
"Ciudad de México","23.07"
"Tamaulipas","22.72"
"Puebla","20.00"
"Michoacán de Ocampo","16.66"
"Guanajuato","16.66"
"Hidalgo","15.38"
"Jalisco","11.76"
"Baja California","10.00"
"Tabasco","9.75"
"Veracruz de Ignacio de La Llave","8.92"
"México","8.24"
"Colima","7.69"
"Guerrero","2.63"
"Chiapas","0.00"
"Tlaxcala","0.00"
"Quintana Roo","0.00"
"Campeche","0.00"
"Baja California Sur","0.00"
"Oaxaca","0.00"
"Morelos","0.00"
"Nayarit","0.00"
