"Estado","% Ocupación"
"Aguascalientes","67.10"
"Jalisco","44.01"
"Colima","41.86"
"Ciudad de México","40.44"
"Nuevo León","34.40"
"Baja California","33.81"
"Chihuahua","33.49"
"Sonora","30.53"
"Hidalgo","29.41"
"Baja California Sur","26.96"
"Puebla","26.61"
"México","26.28"
"Zacatecas","25.28"
"Tamaulipas","25.21"
"San Luis Potosí","24.62"
"Morelos","24.28"
"Nayarit","24.24"
"Coahuila de Zaragoza","23.69"
"Tlaxcala","21.12"
"Sinaloa","21.08"
"Querétaro","20.86"
"Oaxaca","20.68"
"Durango","19.64"
"Yucatán","17.31"
"Tabasco","17.00"
"Michoacán de Ocampo","16.89"
"Veracruz de Ignacio de La Llave","16.54"
"Guanajuato","15.18"
"Guerrero","10.40"
"Quintana Roo","9.25"
"Chiapas","3.70"
"Campeche","1.62"
