"Estado","% Ocupación"
"Aguascalientes","46.00"
"Querétaro","37.05"
"Jalisco","35.40"
"Ciudad de México","32.17"
"Oaxaca","31.42"
"Colima","29.03"
"Nuevo León","27.45"
"Hidalgo","27.36"
"México","25.03"
"Sonora","23.58"
"Coahuila de Zaragoza","22.83"
"Baja California","22.81"
"Puebla","21.73"
"Tamaulipas","20.95"
"San Luis Potosí","19.26"
"Nayarit","19.14"
"Baja California Sur","16.98"
"Chihuahua","16.89"
"Veracruz de Ignacio de La Llave","16.36"
"Sinaloa","16.25"
"Tabasco","13.93"
"Morelos","13.88"
"Michoacán de Ocampo","12.95"
"Zacatecas","12.88"
"Guanajuato","12.80"
"Tlaxcala","12.50"
"Durango","12.14"
"Guerrero","10.44"
"Yucatán","9.46"
"Chiapas","5.67"
"Quintana Roo","4.16"
"Campeche","0.00"
