"Estado","% Ocupación"
"Tabasco","44.98"
"Aguascalientes","44.69"
"Ciudad de México","40.40"
"Colima","38.77"
"Yucatán","37.56"
"Michoacán de Ocampo","37.22"
"Tlaxcala","35.45"
"Jalisco","34.66"
"Veracruz de Ignacio de La Llave","34.57"
"Nuevo León","34.32"
"Puebla","33.33"
"Morelos","32.89"
"Baja California","30.45"
"Tamaulipas","30.29"
"Querétaro","28.40"
"Nayarit","28.37"
"Oaxaca","27.86"
"Durango","27.72"
"México","27.45"
"Chihuahua","24.53"
"Hidalgo","24.20"
"San Luis Potosí","21.51"
"Coahuila de Zaragoza","18.90"
"Zacatecas","18.75"
"Guanajuato","17.99"
"Sinaloa","15.48"
"Sonora","15.11"
"Chiapas","14.70"
"Baja California Sur","12.57"
"Quintana Roo","8.60"
"Campeche","8.51"
"Guerrero","7.79"
