"Estado","% Ocupación"
"Durango","80.00"
"Zacatecas","78.74"
"Ciudad de México","74.51"
"Aguascalientes","70.13"
"Chihuahua","65.83"
"Nuevo León","65.73"
"San Luis Potosí","63.94"
"Coahuila de Zaragoza","56.59"
"Sonora","55.50"
"Hidalgo","54.50"
"Tamaulipas","50.54"
"Sinaloa","49.87"
"Nayarit","48.95"
"Jalisco","48.34"
"Querétaro","46.07"
"Baja California","45.96"
"Oaxaca","45.31"
"México","45.10"
"Baja California Sur","43.19"
"Quintana Roo","42.44"
"Guanajuato","42.39"
"Puebla","41.87"
"Colima","39.81"
"Morelos","35.71"
"Guerrero","35.52"
"Michoacán de Ocampo","30.64"
"Veracruz de Ignacio de La Llave","28.07"
"Tabasco","23.96"
"Yucatán","19.30"
"Tlaxcala","16.23"
"Campeche","7.39"
"Chiapas","3.35"
