"Estado","% Ocupación"
"Aguascalientes","50.81"
"Tabasco","43.06"
"Ciudad de México","36.97"
"Tlaxcala","36.93"
"Yucatán","35.39"
"Puebla","35.00"
"Jalisco","34.36"
"Nuevo León","34.05"
"Michoacán de Ocampo","33.05"
"Veracruz de Ignacio de La Llave","31.35"
"México","28.91"
"Morelos","28.75"
"Chihuahua","28.28"
"Durango","27.73"
"Querétaro","27.69"
"Hidalgo","27.56"
"Baja California Sur","27.45"
"Oaxaca","27.43"
"Tamaulipas","27.35"
"Baja California","24.80"
"Zacatecas","24.07"
"Colima","23.95"
"Nayarit","22.78"
"San Luis Potosí","19.62"
"Coahuila de Zaragoza","17.69"
"Guanajuato","15.97"
"Sonora","15.68"
"Chiapas","15.12"
"Sinaloa","10.08"
"Quintana Roo","8.37"
"Campeche","8.08"
"Guerrero","6.98"
