"Estado","% Ocupación"
"Aguascalientes","72.72"
"Jalisco","38.37"
"Colima","37.03"
"Querétaro","36.84"
"Tlaxcala","35.71"
"México","26.02"
"Durango","25.00"
"Tamaulipas","23.71"
"Baja California","23.07"
"Nuevo León","23.07"
"Baja California Sur","22.41"
"Veracruz de Ignacio de La Llave","21.95"
"Sinaloa","20.00"
"Guerrero","18.75"
"Coahuila de Zaragoza","18.60"
"Guanajuato","18.03"
"Yucatán","17.77"
"Chihuahua","16.94"
"Ciudad de México","15.81"
"Puebla","14.07"
"Chiapas","11.22"
"Morelos","11.11"
"Oaxaca","10.25"
"Quintana Roo","9.09"
"Sonora","8.77"
"Tabasco","7.89"
"Michoacán de Ocampo","7.85"
"San Luis Potosí","5.26"
"Campeche","4.76"
"Zacatecas","3.38"
"Hidalgo","2.29"
"Nayarit","0.00"
