"Estado","% Ocupación"
"Baja California Sur","49.76"
"Yucatán","43.02"
"Tabasco","34.21"
"Quintana Roo","22.76"
"Oaxaca","21.62"
"Sonora","21.27"
"Sinaloa","20.47"
"Nuevo León","19.65"
"Tamaulipas","14.54"
"Baja California","14.02"
"Colima","14.00"
"Hidalgo","10.88"
"Nayarit","10.25"
"Ciudad de México","9.33"
"Coahuila de Zaragoza","9.32"
"Durango","9.19"
"Aguascalientes","9.01"
"Michoacán de Ocampo","7.94"
"Veracruz de Ignacio de La Llave","7.66"
"Tlaxcala","7.40"
"Jalisco","7.18"
"Campeche","6.93"
"San Luis Potosí","6.74"
"Chiapas","6.42"
"Zacatecas","6.34"
"Chihuahua","6.25"
"Guerrero","6.25"
"México","5.87"
"Puebla","5.30"
"Querétaro","2.38"
"Guanajuato","0.95"
"Morelos","0.00"
