"Estado","% Ocupación"
"Coahuila de Zaragoza","66.66"
"Chihuahua","58.33"
"Aguascalientes","51.61"
"Querétaro","43.75"
"Sonora","42.85"
"Durango","41.86"
"Zacatecas","38.88"
"Nuevo León","31.00"
"Puebla","26.66"
"Baja California","21.42"
"Sinaloa","19.60"
"Tabasco","15.46"
"San Luis Potosí","14.81"
"Tamaulipas","14.75"
"Ciudad de México","11.97"
"Veracruz de Ignacio de La Llave","10.52"
"Jalisco","10.43"
"Guanajuato","7.40"
"México","7.21"
"Hidalgo","6.66"
"Oaxaca","5.55"
"Chiapas","2.56"
"Guerrero","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
"Morelos","0.00"
"Colima","0.00"
"Yucatán","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Quintana Roo","0.00"
