"Estado","% Ocupación"
"Yucatán","45.73"
"Baja California Sur","40.29"
"Tabasco","36.70"
"Quintana Roo","20.55"
"Tamaulipas","19.84"
"Colima","19.60"
"Sonora","19.31"
"Nuevo León","17.90"
"Sinaloa","16.29"
"Ciudad de México","13.85"
"Baja California","13.59"
"Nayarit","13.58"
"Chihuahua","12.31"
"Oaxaca","12.19"
"Campeche","10.28"
"Michoacán de Ocampo","9.58"
"Tlaxcala","9.17"
"Veracruz de Ignacio de La Llave","9.00"
"Aguascalientes","8.52"
"Guerrero","8.14"
"Coahuila de Zaragoza","8.10"
"Puebla","7.80"
"Durango","7.35"
"Zacatecas","6.81"
"Hidalgo","6.80"
"México","6.38"
"Chiapas","6.25"
"San Luis Potosí","5.68"
"Jalisco","5.62"
"Guanajuato","2.06"
"Querétaro","1.93"
"Morelos","1.40"
