"Estado","% Ocupación"
"Aguascalientes","80.00"
"Ciudad de México","76.22"
"Zacatecas","68.42"
"Jalisco","66.84"
"Sinaloa","60.41"
"Nuevo León","58.33"
"Durango","56.81"
"Querétaro","56.25"
"Hidalgo","53.84"
"Chihuahua","47.50"
"Guanajuato","41.81"
"Puebla","40.81"
"Tamaulipas","39.18"
"San Luis Potosí","37.25"
"México","33.75"
"Tabasco","33.33"
"Baja California","25.80"
"Sonora","23.07"
"Coahuila de Zaragoza","22.22"
"Veracruz de Ignacio de La Llave","21.05"
"Yucatán","17.39"
"Guerrero","9.09"
"Campeche","3.33"
"Oaxaca","0.00"
"Chiapas","0.00"
"Nayarit","0.00"
"Quintana Roo","0.00"
"Morelos","0.00"
"Colima","0.00"
"Michoacán de Ocampo","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
