"Estado","% Ocupación"
"Yucatán","77.27"
"Coahuila de Zaragoza","60.00"
"Sonora","40.54"
"Nuevo León","38.85"
"Tabasco","35.29"
"Zacatecas","33.33"
"Colima","33.33"
"Tamaulipas","31.81"
"Sinaloa","28.37"
"Quintana Roo","28.07"
"Querétaro","27.27"
"Durango","26.66"
"México","20.61"
"Veracruz de Ignacio de La Llave","16.66"
"Aguascalientes","15.68"
"Puebla","15.18"
"Campeche","14.70"
"Chihuahua","14.44"
"Jalisco","12.85"
"Ciudad de México","12.24"
"Oaxaca","10.29"
"Guerrero","10.25"
"Baja California","9.30"
"Guanajuato","8.92"
"San Luis Potosí","7.40"
"Chiapas","6.34"
"Michoacán de Ocampo","6.25"
"Tlaxcala","0.00"
"Nayarit","0.00"
"Hidalgo","0.00"
"Baja California Sur","0.00"
"Morelos","0.00"
