"Estado","% Ocupación"
"Aguascalientes","63.41"
"Nuevo León","61.42"
"Ciudad de México","57.92"
"Zacatecas","57.50"
"Durango","55.36"
"Puebla","54.20"
"Hidalgo","54.13"
"Chihuahua","53.86"
"Coahuila de Zaragoza","52.94"
"Querétaro","50.49"
"San Luis Potosí","48.38"
"Sonora","47.97"
"Morelos","46.12"
"Colima","46.04"
"Jalisco","45.93"
"Nayarit","45.39"
"México","44.92"
"Oaxaca","43.80"
"Tamaulipas","43.76"
"Sinaloa","41.00"
"Guanajuato","40.53"
"Baja California","39.17"
"Guerrero","37.46"
"Veracruz de Ignacio de La Llave","36.91"
"Baja California Sur","33.53"
"Tabasco","32.00"
"Michoacán de Ocampo","28.30"
"Tlaxcala","25.00"
"Quintana Roo","23.10"
"Yucatán","13.57"
"Campeche","7.52"
"Chiapas","6.20"
