"Estado","% Ocupación"
"Tlaxcala","0.00"
"Colima","-4282.35"
"Quintana Roo","-4374.99"
"Jalisco","-4488.57"
"Durango","-4545.45"
"Sonora","-4736.84"
"Chihuahua","-4782.60"
"Coahuila de Zaragoza","-4999.99"
"Puebla","-5111.11"
"Sinaloa","-5141.67"
"San Luis Potosí","-5161.28"
"Baja California","-5333.33"
"Ciudad de México","-5658.45"
"Veracruz de Ignacio de La Llave","-5714.28"
"Tabasco","-5714.28"
"Querétaro","-5714.28"
"Guanajuato","-5882.16"
"Nayarit","-5999.99"
"México","-6078.43"
"Guerrero","-6111.11"
"Michoacán de Ocampo","-6274.50"
"Oaxaca","-6315.78"
"Hidalgo","-6874.99"
"Tamaulipas","-6956.52"
"Baja California Sur","-6999.99"
"Chiapas","-7027.02"
"Nuevo León","-7368.42"
"Morelos","-7499.99"
"Yucatán","-7646.74"
"Aguascalientes","-7777.77"
"Campeche","-8330.95"
"Zacatecas","-8333.33"
