"Estado","% Ocupación"
"Aguascalientes","44.68"
"Ciudad de México","36.98"
"Colima","33.33"
"Baja California Sur","32.52"
"Oaxaca","30.36"
"Nuevo León","30.25"
"Veracruz de Ignacio de La Llave","30.12"
"Querétaro","30.07"
"Hidalgo","27.31"
"Durango","25.73"
"Jalisco","24.64"
"Sonora","23.24"
"México","23.07"
"Tamaulipas","22.67"
"Chihuahua","22.07"
"Sinaloa","21.96"
"Guerrero","21.73"
"Michoacán de Ocampo","21.32"
"Coahuila de Zaragoza","21.21"
"Morelos","20.62"
"Baja California","20.33"
"Puebla","19.05"
"San Luis Potosí","17.46"
"Nayarit","17.27"
"Guanajuato","15.84"
"Tlaxcala","15.78"
"Zacatecas","10.93"
"Tabasco","10.45"
"Chiapas","7.12"
"Yucatán","5.11"
"Campeche","4.37"
"Quintana Roo","3.01"
