"Estado","% Ocupación"
"Zacatecas","77.77"
"Durango","69.69"
"Aguascalientes","66.66"
"Querétaro","56.25"
"Chihuahua","52.77"
"San Luis Potosí","43.24"
"Sinaloa","29.41"
"Nuevo León","28.75"
"Sonora","27.77"
"Coahuila de Zaragoza","27.27"
"Ciudad de México","23.44"
"Puebla","21.42"
"Tamaulipas","20.63"
"México","16.85"
"Guanajuato","16.66"
"Baja California","16.66"
"Hidalgo","15.38"
"Jalisco","14.59"
"Tabasco","13.33"
"Yucatán","12.50"
"Oaxaca","7.69"
"Veracruz de Ignacio de La Llave","1.75"
"Chiapas","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Morelos","0.00"
"Campeche","0.00"
"Guerrero","0.00"
"Colima","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Quintana Roo","0.00"
