"Estado","% Ocupación"
"Nayarit","66.66"
"Aguascalientes","25.00"
"Querétaro","16.66"
"Chihuahua","16.66"
"Sinaloa","13.79"
"Zacatecas","10.00"
"México","8.69"
"Ciudad de México","6.97"
"San Luis Potosí","2.94"
"Tamaulipas","2.22"
"Nuevo León","1.44"
"Jalisco","1.33"
"Puebla","0.00"
"Coahuila de Zaragoza","0.00"
"Quintana Roo","0.00"
"Baja California Sur","0.00"
"Tabasco","0.00"
"Guerrero","0.00"
"Yucatán","0.00"
"Tlaxcala","0.00"
"Michoacán de Ocampo","0.00"
"Oaxaca","0.00"
"Veracruz de Ignacio de La Llave","0.00"
"Hidalgo","0.00"
"Chiapas","0.00"
"Campeche","0.00"
"Durango","0.00"
"Colima","0.00"
"Sonora","0.00"
"Morelos","0.00"
"Guanajuato","0.00"
"Baja California","0.00"
