"Estado","% Ocupación"
"Nayarit","4.54"
"Yucatán","4.16"
"Ciudad de México","3.30"
"Sonora","3.17"
"Oaxaca","3.12"
"Sinaloa","2.94"
"Aguascalientes","2.56"
"Chihuahua","1.78"
"Nuevo León","1.31"
"Quintana Roo","1.29"
"Tamaulipas","1.26"
"Jalisco","1.14"
"México","0.88"
"Puebla","0.86"
"Michoacán de Ocampo","0.75"
"Veracruz de Ignacio de La Llave","0.64"
"Guanajuato","0.16"
"Guerrero","0.00"
"San Luis Potosí","0.00"
"Campeche","0.00"
"Querétaro","0.00"
"Hidalgo","0.00"
"Chiapas","0.00"
"Durango","0.00"
"Morelos","0.00"
"Zacatecas","0.00"
"Colima","0.00"
"Baja California","0.00"
"Coahuila de Zaragoza","0.00"
"Baja California Sur","0.00"
"Tabasco","0.00"
"Tlaxcala","0.00"
