"Estado","% Ocupación"
"Querétaro","100.00"
"Aguascalientes","35.00"
"Ciudad de México","27.10"
"Puebla","23.52"
"Nuevo León","23.30"
"Veracruz de Ignacio de La Llave","19.14"
"Michoacán de Ocampo","16.66"
"Sonora","15.78"
"Tabasco","15.71"
"Chihuahua","12.82"
"Oaxaca","11.76"
"Zacatecas","11.11"
"Tamaulipas","10.90"
"San Luis Potosí","10.34"
"México","9.56"
"Jalisco","9.55"
"Guanajuato","8.69"
"Durango","8.57"
"Yucatán","8.00"
"Hidalgo","7.69"
"Sinaloa","5.88"
"Tlaxcala","0.00"
"Chiapas","0.00"
"Campeche","0.00"
"Colima","0.00"
"Morelos","0.00"
"Quintana Roo","0.00"
"Baja California","0.00"
"Guerrero","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Coahuila de Zaragoza","0.00"
