"Estado","% Ocupación"
"Durango","82.65"
"Nuevo León","74.97"
"Aguascalientes","73.21"
"Ciudad de México","73.11"
"Coahuila de Zaragoza","68.06"
"San Luis Potosí","65.25"
"Chihuahua","64.22"
"Zacatecas","60.00"
"Hidalgo","51.61"
"Sonora","49.17"
"Baja California","47.85"
"Nayarit","47.15"
"Querétaro","46.13"
"Jalisco","46.10"
"Sinaloa","46.09"
"Baja California Sur","46.01"
"Tamaulipas","45.43"
"Quintana Roo","42.17"
"Guanajuato","39.19"
"México","37.92"
"Puebla","35.84"
"Morelos","33.92"
"Colima","31.57"
"Guerrero","30.20"
"Michoacán de Ocampo","25.59"
"Veracruz de Ignacio de La Llave","23.33"
"Oaxaca","22.14"
"Tabasco","20.87"
"Yucatán","15.42"
"Tlaxcala","10.43"
"Campeche","5.74"
"Chiapas","2.46"
