"Estado","% Ocupación"
"Baja California Sur","68.68"
"Quintana Roo","42.60"
"Tamaulipas","39.13"
"Sonora","36.53"
"Sinaloa","36.41"
"Ciudad de México","35.72"
"Durango","28.37"
"Tabasco","27.97"
"Nayarit","27.27"
"Nuevo León","25.93"
"Aguascalientes","23.93"
"Oaxaca","23.89"
"Yucatán","23.54"
"Veracruz de Ignacio de La Llave","21.95"
"Hidalgo","16.59"
"Campeche","16.58"
"Baja California","15.78"
"México","15.38"
"Jalisco","14.65"
"Coahuila de Zaragoza","10.98"
"Puebla","10.27"
"Guerrero","10.19"
"Colima","10.10"
"Chihuahua","9.52"
"Zacatecas","9.00"
"Morelos","7.80"
"San Luis Potosí","7.37"
"Chiapas","7.19"
"Michoacán de Ocampo","7.09"
"Querétaro","4.98"
"Tlaxcala","4.58"
"Guanajuato","1.87"
