"Estado","% Ocupación"
"Aguascalientes","53.98"
"Baja California","34.25"
"Chihuahua","27.17"
"Sonora","26.84"
"Durango","26.22"
"Zacatecas","17.27"
"Coahuila de Zaragoza","17.21"
"Nuevo León","13.58"
"Ciudad de México","12.01"
"Colima","11.62"
"San Luis Potosí","11.21"
"Sinaloa","11.11"
"Nayarit","10.00"
"Guanajuato","9.53"
"Puebla","8.97"
"Tamaulipas","8.38"
"Jalisco","8.35"
"Hidalgo","7.69"
"Morelos","6.25"
"Querétaro","6.19"
"Oaxaca","5.74"
"Yucatán","5.52"
"Veracruz de Ignacio de La Llave","5.04"
"Michoacán de Ocampo","4.47"
"México","4.39"
"Baja California Sur","3.03"
"Guerrero","2.35"
"Tabasco","1.34"
"Chiapas","0.76"
"Quintana Roo","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
