"Estado","% Ocupación"
"Nuevo León","23.56"
"Aguascalientes","14.28"
"Ciudad de México","14.27"
"Colima","13.79"
"Chihuahua","12.38"
"Durango","10.67"
"Tlaxcala","10.41"
"Sinaloa","10.30"
"Hidalgo","9.27"
"Tamaulipas","9.09"
"Querétaro","8.91"
"Baja California Sur","8.88"
"Oaxaca","6.84"
"Jalisco","6.54"
"Veracruz de Ignacio de La Llave","6.52"
"Nayarit","5.61"
"Coahuila de Zaragoza","5.55"
"Guerrero","5.26"
"Sonora","4.66"
"Puebla","4.55"
"México","4.08"
"Guanajuato","3.83"
"San Luis Potosí","3.82"
"Morelos","3.29"
"Baja California","3.26"
"Michoacán de Ocampo","3.17"
"Quintana Roo","2.98"
"Zacatecas","2.29"
"Tabasco","1.71"
"Chiapas","1.53"
"Yucatán","1.53"
"Campeche","0.53"
