"Estado","% Ocupación"
"Aguascalientes","69.42"
"Zacatecas","38.88"
"Chihuahua","38.65"
"Ciudad de México","38.48"
"Durango","30.95"
"Nuevo León","28.78"
"Sonora","28.67"
"Baja California","26.81"
"Jalisco","26.15"
"Baja California Sur","23.76"
"Sinaloa","21.83"
"San Luis Potosí","20.54"
"Colima","19.14"
"Nayarit","17.30"
"Yucatán","16.93"
"Hidalgo","16.32"
"Coahuila de Zaragoza","15.65"
"Tamaulipas","15.62"
"Oaxaca","15.38"
"Michoacán de Ocampo","15.05"
"Puebla","14.86"
"Querétaro","14.69"
"México","13.61"
"Guanajuato","12.08"
"Morelos","10.63"
"Quintana Roo","8.95"
"Veracruz de Ignacio de La Llave","8.40"
"Tlaxcala","7.04"
"Tabasco","4.34"
"Guerrero","2.22"
"Chiapas","2.17"
"Campeche","0.95"
