"Estado","% Ocupación"
"Aguascalientes","27.02"
"Durango","19.10"
"Nuevo León","13.80"
"Chihuahua","12.76"
"Colima","12.69"
"Ciudad de México","11.01"
"Oaxaca","9.37"
"Zacatecas","6.74"
"Nayarit","6.66"
"Sinaloa","6.39"
"Tlaxcala","6.38"
"Veracruz de Ignacio de La Llave","5.58"
"Jalisco","5.28"
"Tamaulipas","4.96"
"Baja California Sur","4.41"
"Puebla","4.20"
"Coahuila de Zaragoza","3.82"
"Baja California","3.32"
"Sonora","3.09"
"México","3.03"
"Guanajuato","2.72"
"Hidalgo","2.67"
"Morelos","2.59"
"Tabasco","1.80"
"San Luis Potosí","1.78"
"Yucatán","1.23"
"Michoacán de Ocampo","1.16"
"Guerrero","1.10"
"Chiapas","0.51"
"Querétaro","0.00"
"Campeche","0.00"
"Quintana Roo","0.00"
