"Estado","% Ocupación"
"Aguascalientes","57.72"
"Durango","38.15"
"Zacatecas","38.14"
"Chihuahua","35.00"
"Baja California","28.62"
"Nuevo León","27.16"
"Ciudad de México","26.68"
"Sinaloa","23.27"
"Jalisco","22.91"
"Sonora","22.79"
"San Luis Potosí","22.13"
"Baja California Sur","20.73"
"Colima","20.00"
"Coahuila de Zaragoza","17.02"
"Puebla","14.09"
"Nayarit","13.88"
"Querétaro","13.08"
"Hidalgo","11.62"
"Oaxaca","11.47"
"Michoacán de Ocampo","11.39"
"Tamaulipas","10.41"
"Yucatán","10.34"
"México","10.26"
"Guanajuato","10.25"
"Tlaxcala","8.19"
"Veracruz de Ignacio de La Llave","6.17"
"Quintana Roo","5.74"
"Morelos","4.34"
"Tabasco","2.57"
"Campeche","1.83"
"Guerrero","1.70"
"Chiapas","0.38"
