"Estado","% Ocupación"
"Baja California","37.66"
"Aguascalientes","25.98"
"Baja California Sur","25.00"
"Morelos","22.22"
"Chihuahua","22.03"
"Durango","21.62"
"Sonora","19.14"
"Puebla","15.55"
"Nuevo León","15.31"
"Jalisco","14.18"
"San Luis Potosí","14.06"
"Tabasco","12.86"
"Tlaxcala","12.32"
"Hidalgo","11.85"
"Ciudad de México","11.75"
"Coahuila de Zaragoza","11.62"
"Michoacán de Ocampo","11.53"
"Querétaro","11.30"
"Tamaulipas","10.76"
"México","10.74"
"Colima","10.60"
"Guanajuato","10.44"
"Oaxaca","9.47"
"Zacatecas","9.17"
"Sinaloa","9.14"
"Yucatán","8.33"
"Veracruz de Ignacio de La Llave","6.47"
"Campeche","5.26"
"Quintana Roo","3.36"
"Nayarit","3.27"
"Chiapas","3.11"
"Guerrero","3.03"
