"Estado","% Ocupación"
"Morelos","100.00"
"Querétaro","90.00"
"Zacatecas","85.00"
"Aguascalientes","64.51"
"Yucatán","51.85"
"Puebla","46.66"
"Colima","46.15"
"Tabasco","42.62"
"Guanajuato","39.34"
"Michoacán de Ocampo","38.88"
"Jalisco","34.74"
"Durango","34.04"
"Ciudad de México","33.72"
"Tamaulipas","32.63"
"Sinaloa","31.25"
"Veracruz de Ignacio de La Llave","30.98"
"Nuevo León","28.96"
"México","27.45"
"Baja California","27.27"
"Chihuahua","24.39"
"San Luis Potosí","18.75"
"Chiapas","17.77"
"Oaxaca","14.81"
"Sonora","13.95"
"Hidalgo","13.79"
"Quintana Roo","11.53"
"Coahuila de Zaragoza","4.54"
"Guerrero","2.38"
"Campeche","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Nayarit","0.00"
