"Estado","% Ocupación"
"Coahuila de Zaragoza","100.00"
"Chihuahua","78.57"
"Durango","51.16"
"Querétaro","50.00"
"Aguascalientes","48.48"
"Sonora","37.77"
"Tamaulipas","34.09"
"Colima","33.33"
"Puebla","31.81"
"Nuevo León","25.55"
"Ciudad de México","23.07"
"Zacatecas","22.22"
"San Luis Potosí","18.42"
"Sinaloa","17.64"
"Michoacán de Ocampo","16.66"
"Yucatán","16.66"
"México","16.66"
"Guanajuato","12.72"
"Jalisco","11.04"
"Tabasco","10.00"
"Baja California","10.00"
"Veracruz de Ignacio de La Llave","9.67"
"Oaxaca","6.25"
"Guerrero","2.63"
"Morelos","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
"Chiapas","0.00"
"Quintana Roo","0.00"
"Hidalgo","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
