"Estado","% Ocupación"
"Baja California Sur","50.73"
"Yucatán","45.78"
"Tabasco","36.97"
"Sonora","23.39"
"Colima","21.15"
"Oaxaca","20.19"
"Sinaloa","19.72"
"Quintana Roo","19.42"
"Nuevo León","18.55"
"Tamaulipas","17.37"
"Baja California","17.15"
"Ciudad de México","13.80"
"Durango","10.44"
"Campeche","9.70"
"Aguascalientes","9.02"
"Hidalgo","9.02"
"Nayarit","8.75"
"Michoacán de Ocampo","8.48"
"Tlaxcala","7.40"
"Chihuahua","7.30"
"Coahuila de Zaragoza","7.23"
"San Luis Potosí","7.18"
"Veracruz de Ignacio de La Llave","7.12"
"México","6.81"
"Jalisco","6.71"
"Chiapas","6.08"
"Puebla","6.00"
"Guerrero","5.58"
"Zacatecas","5.55"
"Querétaro","2.00"
"Guanajuato","1.31"
"Morelos","0.00"
