"Estado","% Ocupación"
"Aguascalientes","67.74"
"Zacatecas","66.66"
"Durango","64.70"
"Baja California","63.63"
"Chihuahua","55.55"
"Yucatán","50.00"
"San Luis Potosí","42.85"
"Sonora","36.73"
"Oaxaca","33.33"
"Querétaro","31.25"
"Ciudad de México","24.57"
"Nuevo León","22.56"
"Tamaulipas","18.75"
"Guanajuato","17.85"
"Coahuila de Zaragoza","16.66"
"Puebla","16.66"
"Hidalgo","15.38"
"Sinaloa","14.28"
"Tabasco","13.33"
"Jalisco","13.22"
"México","11.11"
"Veracruz de Ignacio de La Llave","6.12"
"Quintana Roo","4.00"
"Guerrero","1.75"
"Tlaxcala","0.00"
"Morelos","0.00"
"Campeche","0.00"
"Nayarit","0.00"
"Colima","0.00"
"Michoacán de Ocampo","0.00"
"Baja California Sur","0.00"
"Chiapas","0.00"
