"Estado","% Ocupación"
"Tlaxcala","4.54"
"Colima","-4275.62"
"Quintana Roo","-4372.32"
"Jalisco","-4488.33"
"Durango","-4545.45"
"Sonora","-4736.84"
"Chihuahua","-4781.15"
"Coahuila de Zaragoza","-4999.01"
"Puebla","-5109.86"
"Sinaloa","-5134.48"
"San Luis Potosí","-5160.83"
"Baja California","-5333.00"
"Ciudad de México","-5658.59"
"Veracruz de Ignacio de La Llave","-5713.42"
"Tabasco","-5714.28"
"Querétaro","-5714.28"
"Guanajuato","-5881.07"
"Nayarit","-5999.99"
"México","-6078.27"
"Guerrero","-6106.53"
"Michoacán de Ocampo","-6273.91"
"Oaxaca","-6315.78"
"Hidalgo","-6874.51"
"Tamaulipas","-6953.45"
"Baja California Sur","-6999.99"
"Chiapas","-7027.02"
"Nuevo León","-7365.94"
"Morelos","-7499.99"
"Yucatán","-7647.05"
"Aguascalientes","-7774.99"
"Zacatecas","-8333.33"
"Campeche","-8333.33"
