"Estado","% Ocupación"
"Querétaro","100.00"
"Ciudad de México","28.37"
"Nuevo León","22.22"
"Puebla","17.77"
"Chihuahua","16.66"
"Aguascalientes","16.66"
"Michoacán de Ocampo","16.66"
"Guanajuato","14.28"
"Durango","11.11"
"Jalisco","7.05"
"Sonora","5.55"
"Zacatecas","5.55"
"Tabasco","4.41"
"Yucatán","4.00"
"Baja California","4.00"
"México","3.84"
"Tamaulipas","3.77"
"Campeche","3.33"
"Veracruz de Ignacio de La Llave","1.96"
"Oaxaca","0.00"
"Chiapas","0.00"
"Sinaloa","0.00"
"Hidalgo","0.00"
"Colima","0.00"
"Coahuila de Zaragoza","0.00"
"Tlaxcala","0.00"
"Morelos","0.00"
"Quintana Roo","0.00"
"Baja California Sur","0.00"
"Guerrero","0.00"
"Nayarit","0.00"
"San Luis Potosí","0.00"
