"Estado","% Ocupación"
"Tabasco","47.98"
"Aguascalientes","46.61"
"Veracruz de Ignacio de La Llave","44.91"
"Morelos","44.30"
"Jalisco","39.85"
"Tlaxcala","39.02"
"Nuevo León","38.75"
"Ciudad de México","38.61"
"Colima","38.53"
"Puebla","35.94"
"Hidalgo","35.29"
"Michoacán de Ocampo","33.05"
"Querétaro","32.57"
"Yucatán","31.52"
"Durango","31.11"
"México","30.69"
"Tamaulipas","30.26"
"Oaxaca","29.07"
"Baja California","28.81"
"San Luis Potosí","27.17"
"Nayarit","22.77"
"Sonora","22.08"
"Coahuila de Zaragoza","20.90"
"Chihuahua","20.37"
"Zacatecas","19.40"
"Chiapas","15.21"
"Guanajuato","14.91"
"Sinaloa","13.04"
"Campeche","12.03"
"Baja California Sur","11.29"
"Guerrero","11.16"
"Quintana Roo","7.32"
