"Estado","% Ocupación"
"Aguascalientes","48.87"
"Morelos","43.07"
"Tabasco","39.16"
"Tlaxcala","35.41"
"Puebla","34.44"
"Jalisco","33.57"
"Nuevo León","30.31"
"Yucatán","30.15"
"Baja California","29.95"
"Michoacán de Ocampo","29.72"
"Ciudad de México","29.52"
"Veracruz de Ignacio de La Llave","25.54"
"Querétaro","25.50"
"México","25.18"
"Oaxaca","25.00"
"Nayarit","25.00"
"Tamaulipas","24.33"
"Hidalgo","24.18"
"Colima","23.75"
"Zacatecas","23.63"
"Chihuahua","23.02"
"Coahuila de Zaragoza","20.98"
"Durango","18.60"
"Sonora","15.88"
"San Luis Potosí","14.81"
"Chiapas","14.44"
"Guanajuato","12.86"
"Sinaloa","12.09"
"Campeche","7.51"
"Baja California Sur","7.43"
"Quintana Roo","6.95"
"Guerrero","4.31"
