"Estado","% Ocupación"
"Aguascalientes","57.98"
"Chihuahua","34.17"
"Durango","31.03"
"Baja California","29.36"
"Zacatecas","26.21"
"Sonora","21.22"
"Ciudad de México","21.18"
"Nuevo León","17.00"
"Coahuila de Zaragoza","15.78"
"San Luis Potosí","13.15"
"Sinaloa","11.76"
"Jalisco","10.81"
"Querétaro","10.26"
"Tlaxcala","9.67"
"Guanajuato","9.34"
"Hidalgo","8.60"
"Tamaulipas","7.79"
"Baja California Sur","7.63"
"Puebla","6.89"
"Michoacán de Ocampo","6.77"
"Oaxaca","6.55"
"Nayarit","6.38"
"Yucatán","5.85"
"México","5.64"
"Morelos","5.00"
"Colima","4.76"
"Veracruz de Ignacio de La Llave","2.52"
"Quintana Roo","2.31"
"Campeche","1.73"
"Tabasco","1.35"
"Chiapas","0.76"
"Guerrero","0.00"
