"Estado","% Ocupación"
"Baja California Sur","62.92"
"Quintana Roo","41.44"
"Tamaulipas","40.24"
"Sonora","32.36"
"Sinaloa","30.91"
"Tabasco","29.67"
"Nuevo León","26.86"
"Ciudad de México","25.91"
"Yucatán","24.55"
"Durango","21.79"
"Veracruz de Ignacio de La Llave","19.77"
"Nayarit","19.26"
"Aguascalientes","19.16"
"Oaxaca","18.38"
"Hidalgo","14.38"
"Jalisco","13.35"
"México","12.86"
"Campeche","12.60"
"Puebla","11.42"
"Baja California","10.17"
"Colima","10.12"
"Coahuila de Zaragoza","10.10"
"Guerrero","9.77"
"Chihuahua","9.07"
"San Luis Potosí","8.65"
"Morelos","8.11"
"Chiapas","7.18"
"Tlaxcala","6.03"
"Querétaro","4.67"
"Michoacán de Ocampo","4.57"
"Zacatecas","3.92"
"Guanajuato","3.36"
