"Estado","% Ocupación"
"Querétaro","100.00"
"Ciudad de México","32.03"
"Aguascalientes","27.77"
"Nuevo León","23.91"
"Michoacán de Ocampo","16.66"
"Chihuahua","14.28"
"Sonora","11.11"
"Zacatecas","11.11"
"Durango","8.88"
"México","8.39"
"Tabasco","8.33"
"Veracruz de Ignacio de La Llave","7.69"
"Jalisco","7.05"
"Tamaulipas","6.52"
"Guanajuato","6.38"
"Yucatán","4.00"
"Baja California","4.00"
"Sinaloa","3.22"
"Nayarit","0.00"
"Oaxaca","0.00"
"Coahuila de Zaragoza","0.00"
"Hidalgo","0.00"
"Chiapas","0.00"
"San Luis Potosí","0.00"
"Campeche","0.00"
"Colima","0.00"
"Morelos","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Puebla","0.00"
"Guerrero","0.00"
