"Estado","% Ocupación"
"Nayarit","100.00"
"Aguascalientes","77.27"
"Ciudad de México","71.42"
"Durango","68.57"
"Zacatecas","66.66"
"Jalisco","64.02"
"Baja California","63.63"
"Nuevo León","56.48"
"Querétaro","56.25"
"Puebla","55.31"
"San Luis Potosí","54.90"
"Chihuahua","48.78"
"Sonora","47.82"
"Guanajuato","44.44"
"Tabasco","40.40"
"Tamaulipas","38.66"
"Hidalgo","38.46"
"Sinaloa","33.84"
"México","32.25"
"Veracruz de Ignacio de La Llave","28.00"
"Coahuila de Zaragoza","22.22"
"Yucatán","13.04"
"Oaxaca","11.76"
"Guerrero","7.69"
"Campeche","3.22"
"Colima","0.00"
"Baja California Sur","0.00"
"Morelos","0.00"
"Michoacán de Ocampo","0.00"
"Quintana Roo","0.00"
"Chiapas","0.00"
"Tlaxcala","0.00"
