"Estado","% Ocupación"
"Zacatecas","83.33"
"Aguascalientes","76.66"
"San Luis Potosí","62.00"
"Querétaro","56.25"
"Chihuahua","55.26"
"Durango","52.38"
"Coahuila de Zaragoza","50.00"
"Nuevo León","45.84"
"Baja California","41.66"
"Ciudad de México","35.71"
"Guanajuato","33.33"
"Sinaloa","30.00"
"Sonora","26.47"
"Jalisco","26.28"
"Hidalgo","23.07"
"Puebla","21.42"
"Tamaulipas","20.00"
"Tabasco","16.92"
"México","12.75"
"Veracruz de Ignacio de La Llave","11.32"
"Yucatán","8.33"
"Oaxaca","7.69"
"Quintana Roo","7.40"
"Campeche","5.00"
"Chiapas","0.00"
"Nayarit","0.00"
"Colima","0.00"
"Guerrero","0.00"
"Morelos","0.00"
"Michoacán de Ocampo","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
